Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6, HSN Code, Second Name
Soap 110 g lifeboy Indonesia,9E+12,code128,Life boy,C1,pc,pc,موسسة أبراج الترسانة,18.899,3,3,,,,,,,,,,,,,صابون لايفبوي اندونسيا110جم
Spray shalis Mens large 100 ml,3.70008E+12,code128,Remy,C2,pc,pc,موسسة ذوق البرنس,34.64,40,3,,,,,,,,,,,,,شاليس رجالي كبير 100مل 
Attar full8 ml,6.28701E+12,code128,Ahsan,C2,pc,pc,موسسة ذوق البرنس,1.308,3,3,,,,,,,,,,,,,فل أحسن رول 8مل 
Roll Alwani 8 ml,8.90136E+12,code128,Ahsan,C2,pc,pc,موسسة ذوق البرنس,1.75,4,3,,,,,,,,,,,,,رول علواني 8مل 
Paste signal120ml saudi,6.28101E+12,code128,Signal,C2,pc,pc,موسسة أبراج الترسانة,4.811,8,3,,,,,,,,,,,,,معجون أسنان سيجنال 120 مل سعودي 
Spray  normal,8.90608E+12,code128,Toros,C2,pc,pc,موسسة أبراج الترسانة,5,10,3,,,,,,,,,,,,,عطر شعبي 
Spray shalies Mens small 60 ml,3.70008E+12,code128,Remy,C2,pc,pc,موسسة ذوق البرنس,27.3,35,3,,,,,,,,,,,,,شاليس رجالي صغير 60مل 
Peacock,21484017346,code128,Peacock,C1,pc,pc,موسسة أبراج الترسانة,2.18,5,3,,,,,,,,,,,,,صبغة شعر ابو طاؤوس اسود  
Cream Radian 100 g,5.01131E+12,code128,Radian,C1,pc,pc,موسسة أبراج الترسانة,11.37,14,3,,,,,,,,,,,,,كريم راديان للتدليك 100جم 
Orange dye Tancho,4.90281E+12,code128,Tancho,C1,pc,pc,موسسة أبراج الترسانة,3.32,5,3,,,,,,,,,,,,,صبغة تانشو برتقالي 
Tiger balm,88822549,code128,Tiger,C1,pc,pc,موسسة أبراج الترسانة,5.25,7,3,,,,,,,,,,,,,تيجربالم دهان أبونمر 
Geliga,8.99318E+12,code128,Otot,C1,pc,pc,موسسة أبراج الترسانة,3.061,5,3,,,,,,,,,,,,,بلسم قليقا 20جم 
Rani Henna paste Kun red,6.2811E+12,code128,Rani,C1,pc,pc,موسسة أبراج الترسانة,2.44,5,3,,,,,,,,,,,,,معجون حنة راني كون أحمر 
Soap lux 85g,6.22105E+12,code128,Lux,C1,pc,pc,موسسة أبراج الترسانة,0.65,2,20,,,,,,,,,,,,,صابون لوكس مصري 85 جم 
Paste signal 25g,6.22105E+12,code128,Signal,C1,pc,pc,موسسة أبراج الترسانة,1.48,3,3,,,,,,,,,,,,,معجون أسنان سجنال 25 مل مصري 
Paste signal 50g,6.22105E+12,code128,Signal,C1,pc,pc,موسسة أبراج الترسانة,2.18,4,3,,,,,,,,,,,,,معجون اسنان سيجنال 50 مل مصري 
Vicks100g,4.0156E+12,code128,vibix,C1,pc,pc,موسسة أبراج الترسانة,13.12,15,3,,,,,,,,,,,,,فيكس 100 جم 
Scrub shifa 500g,8.69013E+12,code128,Shifa,C1,pc,pc,موسسة أبراج الترسانة,7,12,3,,,,,,,,,,,,,صنفرة شفاء 500 مل 